mV      mA       errori (x e y)   // errori calibrati su una cifra significativa

360     5.16     20       0.10
340     3.78     20       0.08
320     2.92     10       0.06
300     2.05     10       0.05
280     1.43     10       0.04
260     0.97     10       0.03
240     0.65     9        0.03
220     0.44     9        0.03
200     0.29     8        0.02
180     0.19     8        0.02
160     0.12     8        0.02
140     0.08     7        0.02
128     0.06     7        0.02
120     0.04     5        0.02
104     0.03     4        0.02
88      0.02     4        0.02
72      0.01     4        0.02
