mA      mV     errori mA   errori mV

5.16    360    0.01        11
3.78    340    0.01        10
2.92    320    0.01        10
2.05    300    0.01        9
1.43    280    0.01        8
0.97    260    0.01        8
0.65    240    0.01        7
0.44    220    0.01        7
0.29    200    0.01        6
0.19    180    0.01        5
0.12    160    0.01        5
0.08    140    0.01        4
0.06    128    0.01        4
0.04    120    0.01        4
0.03    104    0.01        3
0.02    88     0.01        3
0.01    72     0.01        2
