mA      mV       errori (x e y)  //bisogna valutare in quadratura gli errori dell'oscilloscopio // Fatto (con una cifra significativa)

7.60    760	       0.13	  30
3.96	720	       0.08	  30
2.83	700	       0.06	  30
1.94	680	       0.05	  30
0.89	640	       0.03	  30
0.41	600	       0.03	  20
0.29	580	       0.02	  20
0.13	550	       0.02	  20
0.09	525	       0.02	  20
0.06	500	       0.02	  20
0.04	480	       0.02	  20
0.03	460	       0.02	  20
0.02	440	       0.02	  20
0.01	420	       0.02	  20
0.01	400	       0.02	  20
