Valori di corrente (mA)	Valori di tensione (mV)	    Errori mA	Errori mV
-23.15	                -4000		                0.37	    200
-22.96	                -3800		                0.36	    200
-22.81	                -3600		                0.36	    100
-22.66	                -3400		                0.36	    100
-22.48	                -3200		                0.36	    100
-22.26	                -3000		                0.35	    100
-21.77	                -2600		                0.35	    100
-21.55	                -2400		                0.34	    90
-21.32	                -2200		                0.34	    80
-21.09	                -2000		                0.34	    80
-20.94	                -1900		                0.33	    80
-20.79	                -1800		                0.33	    70
-20.67	                -1700		                0.33	    70
-20.54	                -1600		                0.33	    70
-20.42	                -1500		                0.33	    70
-20.29	                -1400		                0.32	    70
-20.15	                -1300		                0.32	    60
-20.01	                -1200		                0.32	    60
-19.88	                -1100		                0.32	    60
-19.72	                -1000		                0.32	    40
-19.56                	-960		                0.31	    40
-19.51                	-920		                0.31	    40
-19.43                	-880		                0.31	    30
-19.36                	-840		                0.31	    30
-19.29                	-800		                0.31	    30
-19.15                	-720		                0.31	    30
-18.99                	-640		                0.30	    30
-18.76                	-560		                0.30	    30
-18.49                	-480		                0.30	    30
-18.02                	-400		                0.29	    20
-17.61                	-360		                0.28	    20
-17.12                	-320		                0.28	    20
-16.36                	-280		                0.27	    10
-15.41                	-240		                0.25	    10
-13.78                	-200		                0.23	    8
-9.87                	-150		                0.17	    8
-4.19                	-100		                0.08	    7
-0.74	                -50			                0.03	    6

